Total Acceleration =Accel X=-1.14, Accel Y=-0.08, Accel Z=9.68
Total Acceleration =Accel X=-1.12, Accel Y=-0.07, Accel Z=9.67
Total Acceleration =Accel X=-1.1, Accel Y=-0.04, Accel Z=9.7
Total Acceleration =Accel X=-1.1, Accel Y=-0.05, Accel Z=9.69
Total Acceleration =Accel X=-1.08, Accel Y=-0.06, Accel Z=9.67
Total Acceleration =Accel X=-1.12, Accel Y=-0.07, Accel Z=9.7
Total Acceleration =Accel X=-1.12, Accel Y=-0.07, Accel Z=9.67
Total Acceleration =Accel X=-1.15, Accel Y=-0.07, Accel Z=9.69
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.69
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.68
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.72
Total Acceleration =Accel X=-1.17, Accel Y=-0.06, Accel Z=9.73
Total Acceleration =Accel X=-1.17, Accel Y=-0.06, Accel Z=9.72
Total Acceleration =Accel X=-1.14, Accel Y=-0.06, Accel Z=9.69
Total Acceleration =Accel X=-1.14, Accel Y=-0.06, Accel Z=9.71
Total Acceleration =Accel X=-1.12, Accel Y=-0.07, Accel Z=9.7
Total Acceleration =Accel X=-1.12, Accel Y=-0.04, Accel Z=9.66
Total Acceleration =Accel X=-1.13, Accel Y=-0.07, Accel Z=9.64
Total Acceleration =Accel X=-1.1, Accel Y=-0.05, Accel Z=9.62
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.65
Total Acceleration =Accel X=-1.14, Accel Y=-0.06, Accel Z=9.65
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.7
Total Acceleration =Accel X=-1.12, Accel Y=-0.08, Accel Z=9.64
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.68
Total Acceleration =Accel X=-1.11, Accel Y=-0.09, Accel Z=9.7
Total Acceleration =Accel X=-1.14, Accel Y=-0.07, Accel Z=9.69
Total Acceleration =Accel X=-1.18, Accel Y=-0.03, Accel Z=9.7
Total Acceleration =Accel X=-1.15, Accel Y=-0.07, Accel Z=9.69
Total Acceleration =Accel X=-1.14, Accel Y=-0.06, Accel Z=9.71
Total Acceleration =Accel X=-1.13, Accel Y=-0.1, Accel Z=9.7
Total Acceleration =Accel X=-1.13, Accel Y=-0.09, Accel Z=9.72
Total Acceleration =Accel X=-1.12, Accel Y=-0.1, Accel Z=9.69
Total Acceleration =Accel X=-1.11, Accel Y=-0.07, Accel Z=9.69
Total Acceleration =Accel X=-1.1, Accel Y=-0.05, Accel Z=9.64
Total Acceleration =Accel X=-1.11, Accel Y=-0.07, Accel Z=9.64
Total Acceleration =Accel X=-1.13, Accel Y=-0.05, Accel Z=9.67
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.7
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.65
Total Acceleration =Accel X=-1.14, Accel Y=-0.08, Accel Z=9.65
Total Acceleration =Accel X=-1.14, Accel Y=-0.08, Accel Z=9.68
Total Acceleration =Accel X=-1.14, Accel Y=-0.11, Accel Z=9.65
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.64
Total Acceleration =Accel X=-1.13, Accel Y=-0.08, Accel Z=9.67
Total Acceleration =Accel X=-1.13, Accel Y=-0.11, Accel Z=9.65
Total Acceleration =Accel X=-1.12, Accel Y=-0.07, Accel Z=9.69
Total Acceleration =Accel X=-1.13, Accel Y=-0.04, Accel Z=9.67
Total Acceleration =Accel X=-1.15, Accel Y=-0.06, Accel Z=9.68
Total Acceleration =Accel X=-1.2, Accel Y=-0.06, Accel Z=9.74
Total Acceleration =Accel X=-1.18, Accel Y=-0.07, Accel Z=9.75
Total Acceleration =Accel X=-1.16, Accel Y=-0.07, Accel Z=9.71
Total Acceleration =Accel X=-1.12, Accel Y=-0.04, Accel Z=9.72
Total Acceleration =Accel X=-1.12, Accel Y=-0.07, Accel Z=9.7
Total Acceleration =Accel X=-1.1, Accel Y=-0.05, Accel Z=9.66
Total Acceleration =Accel X=-1.11, Accel Y=-0.02, Accel Z=9.75
Total Acceleration =Accel X=-1.16, Accel Y=-0.06, Accel Z=9.7
Total Acceleration =Accel X=-1.12, Accel Y=-0.1, Accel Z=9.61
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.64
Total Acceleration =Accel X=-1.13, Accel Y=-0.05, Accel Z=9.63
Total Acceleration =Accel X=-1.12, Accel Y=-0.05, Accel Z=9.67
Total Acceleration =Accel X=-1.11, Accel Y=-0.06, Accel Z=9.66
Total Acceleration =Accel X=-1.04, Accel Y=-0.08, Accel Z=9.63
Total Acceleration =Accel X=-1.01, Accel Y=-0.09, Accel Z=9.64
Total Acceleration =Accel X=-1.1, Accel Y=-0.08, Accel Z=9.65
Total Acceleration =Accel X=-1.11, Accel Y=-0.06, Accel Z=9.63
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.72
Total Acceleration =Accel X=-1.13, Accel Y=-0.06, Accel Z=9.7
Total Acceleration =Accel X=-1.11, Accel Y=-0.06, Accel Z=9.65
Total Acceleration =Accel X=-1.09, Accel Y=-0.06, Accel Z=9.63
Total Acceleration =Accel X=-1.07, Accel Y=-0.07, Accel Z=9.61
Total Acceleration =Accel X=-1.09, Accel Y=-0.07, Accel Z=9.59
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.62
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.67
Total Acceleration =Accel X=-1.09, Accel Y=-0.05, Accel Z=9.71
Total Acceleration =Accel X=-1.11, Accel Y=-0.05, Accel Z=9.71
Total Acceleration =Accel X=-1.1, Accel Y=-0.04, Accel Z=9.68
Total Acceleration =Accel X=-1.21, Accel Y=-0.09, Accel Z=9.79
Total Acceleration =Accel X=-1.2, Accel Y=-0.09, Accel Z=9.85
Total Acceleration =Accel X=-1.14, Accel Y=-0.05, Accel Z=9.76
Total Acceleration =Accel X=-1.16, Accel Y=-0.03, Accel Z=9.72
Total Acceleration =Accel X=-1.04, Accel Y=-0.08, Accel Z=9.51
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.57
Total Acceleration =Accel X=-1.1, Accel Y=-0.04, Accel Z=9.61
Total Acceleration =Accel X=-1.11, Accel Y=-0.04, Accel Z=9.7
Total Acceleration =Accel X=-1.1, Accel Y=-0.03, Accel Z=9.66
Total Acceleration =Accel X=-1.11, Accel Y=-0.07, Accel Z=9.66
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.62
Total Acceleration =Accel X=-1.1, Accel Y=-0.06, Accel Z=9.64
Total Acceleration =Accel X=-1.11, Accel Y=-0.06, Accel Z=9.64
Total Acceleration =Accel X=-1.11, Accel Y=-0.08, Accel Z=9.68
Total Acceleration =Accel X=-1.14, Accel Y=-0.05, Accel Z=9.68
Total Acceleration =Accel X=-1.12, Accel Y=-0.04, Accel Z=9.67
Total Acceleration =Accel X=-1.13, Accel Y=-0.05, Accel Z=9.66
Total Acceleration =Accel X=-1.12, Accel Y=-0.06, Accel Z=9.66
Total Acceleration =Accel X=-1.14, Accel Y=-0.05, Accel Z=9.68
Total Acceleration =Accel X=-1.1, Accel Y=-0.07, Accel Z=9.65
Total Acceleration =Accel X=-1.16, Accel Y=-0.05, Accel Z=9.66
Total Acceleration =Accel X=-1.14, Accel Y=-0.05, Accel Z=9.66
Total Acceleration =Accel X=-1.09, Accel Y=-0.03, Accel Z=9.67
Total Acceleration =Accel X=-1.1, Accel Y=-0.03, Accel Z=9.65
Total Acceleration =Accel X=-1.11, Accel Y=-0.05, Accel Z=9.67
Total Acceleration =Accel X=-1.12, Accel Y=-0.05, Accel Z=9.64
Total Acceleration =Accel X=-1.16, Accel Y=-0.04, Accel Z=9.64
Total Acceleration =Accel X=-1.14, Accel Y=-0.06, Accel Z=9.61
Total Acceleration =Accel X=-1.15, Accel Y=-0.06, Accel Z=9.66
Total Acceleration =Accel X=-1.11, Accel Y=-0.05, Accel Z=9.67
Total Acceleration =
